Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])
2.000000e-03 4.257219e-01 1.757238e+02 9.216791e+01     Pix  3  2
2.000000e-03 4.300476e-01 1.728151e+02 9.635596e+01     Pix  3  3
2.000000e-03 4.242505e-01 1.738695e+02 9.602637e+01     Pix  3  4
2.000000e-03 4.880037e-01 1.710956e+02 9.755386e+01     Pix  3  5
2.000000e-03 4.550912e-01 1.738665e+02 9.492134e+01     Pix  3  6
2.000000e-03 4.608616e-01 1.750588e+02 9.230502e+01     Pix  3  7
2.000000e-03 4.793260e-01 1.730155e+02 9.498989e+01     Pix  3  8
2.000000e-03 4.096482e-01 1.777643e+02 9.201890e+01     Pix  3  9
2.000000e-03 4.459827e-01 1.757495e+02 9.138651e+01     Pix  3 10
2.000000e-03 4.648616e-01 1.744532e+02 9.442627e+01     Pix  3 11
2.000000e-03 4.287989e-01 1.805010e+02 8.882160e+01     Pix  3 12
2.000000e-03 4.553496e-01 1.768606e+02 8.836944e+01     Pix  3 13
2.000000e-03 4.608958e-01 1.767205e+02 9.258870e+01     Pix  3 14
2.000000e-03 4.052572e-01 1.762253e+02 9.272340e+01     Pix  3 15
2.000000e-03 4.442970e-01 1.742167e+02 9.415678e+01     Pix  3 16
2.000000e-03 4.317719e-01 1.750586e+02 9.362789e+01     Pix  3 17
2.000000e-03 3.918010e-01 1.811932e+02 8.882917e+01     Pix  3 18
2.000000e-03 4.440245e-01 1.740744e+02 9.569392e+01     Pix  3 19
2.000000e-03 4.484980e-01 1.783461e+02 9.131831e+01     Pix  3 20
2.000000e-03 4.374402e-01 1.764026e+02 9.104869e+01     Pix  3 21
2.000000e-03 4.469918e-01 1.770583e+02 9.357583e+01     Pix  3 22
2.000000e-03 4.336037e-01 1.762319e+02 9.236532e+01     Pix  3 23
2.000000e-03 4.516591e-01 1.789738e+02 8.913462e+01     Pix  3 24
2.000000e-03 4.995760e-01 1.736178e+02 9.376948e+01     Pix  3 25
2.000000e-03 5.148124e-01 1.739471e+02 9.203247e+01     Pix  3 26
2.000000e-03 4.587554e-01 1.756984e+02 9.384044e+01     Pix  3 27
2.000000e-03 4.555203e-01 1.758442e+02 9.171855e+01     Pix  3 28
2.000000e-03 4.343667e-01 1.779475e+02 8.904594e+01     Pix  3 29
2.000000e-03 4.864334e-01 1.768690e+02 9.262737e+01     Pix  3 30
2.000000e-03 5.057233e-01 1.744813e+02 9.277178e+01     Pix  3 31
2.000000e-03 4.742733e-01 1.773017e+02 9.114728e+01     Pix  3 32
2.000000e-03 4.268635e-01 1.760887e+02 9.312554e+01     Pix  3 33
2.000000e-03 4.078334e-01 1.791117e+02 8.924226e+01     Pix  3 34
2.000000e-03 4.202439e-01 1.767943e+02 9.321692e+01     Pix  3 35
2.000000e-03 4.369101e-01 1.776230e+02 9.226218e+01     Pix  3 36
2.000000e-03 4.621518e-01 1.754449e+02 9.242051e+01     Pix  3 37
2.000000e-03 4.268413e-01 1.803187e+02 8.866320e+01     Pix  3 38
2.000000e-03 4.485327e-01 1.765837e+02 9.090210e+01     Pix  3 39
2.000000e-03 4.231425e-01 1.787595e+02 9.058881e+01     Pix  3 40
2.000000e-03 4.512766e-01 1.749563e+02 9.275607e+01     Pix  3 41
2.000000e-03 4.784408e-01 1.768805e+02 8.791720e+01     Pix  3 42
2.000000e-03 4.775147e-01 1.784988e+02 8.909137e+01     Pix  3 43
2.000000e-03 4.999259e-01 1.746061e+02 9.027075e+01     Pix  3 44
2.000000e-03 4.374116e-01 1.788888e+02 8.900109e+01     Pix  3 45
2.000000e-03 4.973753e-01 1.722778e+02 9.300565e+01     Pix  3 46
2.000000e-03 4.818428e-01 1.741645e+02 9.231650e+01     Pix  3 47
2.000000e-03 4.709938e-01 1.755985e+02 9.090495e+01     Pix  3 48
2.000000e-03 5.167756e-01 1.731400e+02 9.105918e+01     Pix  3 49
2.000000e-03 5.076135e-01 1.725762e+02 9.338662e+01     Pix  3 50
2.000000e-03 4.501184e-01 1.745083e+02 9.439589e+01     Pix  3 51
2.000000e-03 4.559400e-01 1.754393e+02 9.166089e+01     Pix  3 52
2.000000e-03 4.171440e-01 1.749023e+02 9.251505e+01     Pix  3 53
2.000000e-03 4.777240e-01 1.745560e+02 9.161320e+01     Pix  3 54
2.000000e-03 4.785819e-01 1.748478e+02 9.197715e+01     Pix  3 55
2.000000e-03 5.139962e-01 1.701688e+02 9.467185e+01     Pix  3 56
2.000000e-03 4.432182e-01 1.769116e+02 9.107586e+01     Pix  3 57
2.000000e-03 4.701967e-01 1.735074e+02 9.133134e+01     Pix  3 58
2.000000e-03 4.716875e-01 1.728907e+02 9.425032e+01     Pix  3 59
2.000000e-03 5.314858e-01 1.690742e+02 9.639007e+01     Pix  3 60
2.000000e-03 4.926957e-01 1.732868e+02 9.347054e+01     Pix  3 61
2.000000e-03 4.942652e-01 1.722172e+02 9.060478e+01     Pix  3 62
2.000000e-03 4.880450e-01 1.707217e+02 9.391081e+01     Pix  3 63
2.000000e-03 4.738706e-01 1.728113e+02 9.524940e+01     Pix  3 64
2.000000e-03 5.055506e-01 1.684114e+02 9.846062e+01     Pix  3 65
2.000000e-03 5.110157e-01 1.705429e+02 9.324569e+01     Pix  3 66
2.000000e-03 5.249754e-01 1.709950e+02 9.145585e+01     Pix  3 67
2.000000e-03 5.115247e-01 1.726685e+02 9.115742e+01     Pix  3 68
2.000000e-03 4.482603e-01 1.722225e+02 9.537318e+01     Pix  3 69
